time/total_timesteps,train/reward,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/clip_fraction
128,-0.19473283,1,3196,0,,,,,,,,,,,
256,0.18652226,2,2564,0,341.2594497680664,-0.00023557348176836968,10,2.4393667e-05,209.44215393066406,-1.4188731610774994,1.3575277728743006e-05,0.9998568892478943,0.2,0.003238201141357422,0.0
384,-0.32055634,3,2417,0,126.15351867675781,-0.0005638720002025365,20,4.7087204e-05,69.1193618774414,-1.418840515613556,1.3575277728743006e-05,0.9999964833259583,0.2,-0.023631811141967773,0.0
512,-0.32931978,4,2361,0,254.89225692749022,0.0001008057501167059,30,5.4528937e-07,126.3823013305664,-1.418955808877945,1.3575277728743006e-05,0.9999881982803345,0.2,-0.015208721160888672,0.0
640,-0.294203,5,2323,0,48.99310665130615,-2.0765629597008228e-05,40,8.321367e-07,23.2440242767334,-1.4188835203647614,1.3575277728743006e-05,0.999926745891571,0.2,0.011820971965789795,0.0
768,1.7256624,6,2302,0,733.3309906005859,-9.990762919187546e-06,50,1.1269003e-07,323.7814636230469,-1.4188464522361754,1.3575277728743006e-05,0.9998935461044312,0.2,0.0011922121047973633,0.0
896,0.0,7,2289,0,366.62701721191405,-8.862451650202275e-05,60,9.355135e-07,165.7598114013672,-1.4188384294509888,1.3575277728743006e-05,0.9999173879623413,0.2,0.003997862339019775,0.0
1024,10.332681,8,2276,0,690.8153015136719,-7.616824004799127e-05,70,2.2654422e-06,355.18646240234375,-1.418896847963333,1.3575277728743006e-05,1.00001859664917,0.2,0.005874276161193848,0.0
1152,-21.238325,9,2272,0,1415.6071990966798,-0.00011110000777989626,80,2.4023466e-06,776.449462890625,-1.418986690044403,1.3575277728743006e-05,1.0000605583190918,0.2,0.004709959030151367,0.0
1280,-1.9597,10,2267,0,2482.7041137695314,-3.1258631497621534e-05,90,2.0582229e-07,1203.534912109375,-1.4190006375312805,1.3575277728743006e-05,1.000064730644226,0.2,-0.004872441291809082,0.0
1408,0.4349629,11,2260,0,719.6166625976563,-9.846268221735954e-05,100,3.0500814e-07,396.6099548339844,-1.4190001845359803,1.3575277728743006e-05,1.0000511407852173,0.2,-0.008702397346496582,0.0
1536,-1.9000804,12,2258,0,2244.361639404297,-0.0001425737515091896,110,9.476207e-07,1334.9737548828125,-1.418993318080902,1.3575277728743006e-05,1.000069499015808,0.2,-0.002379894256591797,0.0
1664,1.7223974,13,2256,0,441.5703842163086,-0.0004506793571636081,120,2.6971102e-05,241.87908935546875,-1.4190539956092834,1.3575277728743006e-05,1.0001581907272339,0.2,-0.008171319961547852,0.0
1792,-3.180776,14,2255,0,307.67383270263673,-0.00025734822265803813,130,1.1846889e-05,194.14613342285156,-1.4191064834594727,1.3575277728743006e-05,1.0001652240753174,0.2,0.007095634937286377,0.0
1920,6.4783754,15,2253,0,278.5407424926758,2.2299366537481547e-05,140,4.5634806e-07,101.3329849243164,-1.4191004157066345,1.3575277728743006e-05,1.0001544952392578,0.2,-0.0015742778778076172,0.0
2048,2.279706,16,2252,0,839.3677154541016,-2.4865008890628813e-05,150,3.9301813e-07,412.4364318847656,-1.419075071811676,1.3575277728743006e-05,1.0001112222671509,0.2,0.0008713603019714355,0.0
2176,-1.2824948,17,2251,0,565.4292434692383,-7.041036151349545e-05,160,2.0074658e-06,287.7704162597656,-1.4190853416919709,1.3575277728743006e-05,1.0002198219299316,0.2,-0.004250049591064453,0.0
2304,-0.5230073,18,2245,1,891.1357604980469,1.306682825088501e-05,170,1.3550743e-07,421.82763671875,-1.4191977500915527,1.3575277728743006e-05,1.00027334690094,0.2,0.0007154941558837891,0.0
2432,4.1500144,19,2243,1,1716.0965881347656,-2.713059075176716e-05,180,3.46452e-07,818.748046875,-1.4192057132720948,1.3575277728743006e-05,1.0002593994140625,0.2,9.608268737792969e-05,0.0
2560,-4.0564003,20,2242,1,470.09864807128906,-4.606978036463261e-05,190,8.1397593e-07,237.68775939941406,-1.419188767671585,1.3575277728743006e-05,1.0002381801605225,0.2,0.0051610469818115234,0.0
2688,-2.2273996,21,2242,1,230.36118392944337,-0.00016473126597702504,200,4.16534e-06,119.99500274658203,-1.4191613912582397,1.3575277728743006e-05,1.0002005100250244,0.2,0.001307368278503418,0.0
2816,-11.051646,22,2242,1,597.6269836425781,5.3592678159475324e-05,210,3.8510188e-07,324.0261535644531,-1.4191118359565735,1.3575277728743006e-05,1.0001451969146729,0.2,0.006753444671630859,0.0
2944,-0.02861694,23,2241,1,1498.223828125,-6.262711249291897e-05,220,4.8894435e-07,720.6184692382812,-1.41905420422554,1.3575277728743006e-05,1.0000771284103394,0.2,-0.0028150081634521484,0.0
3072,-1.2718195,24,2240,1,2059.408306884766,-0.00020505029242485763,230,2.1620654e-06,1123.96142578125,-1.418995487689972,1.3575277728743006e-05,1.000045895576477,0.2,0.0021652579307556152,0.0
3200,0.0,25,2240,1,341.1725708007813,-3.547500818967819e-05,240,2.7557835e-06,170.58399963378906,-1.4188962161540986,1.3575277728743006e-05,0.9997928142547607,0.2,-0.002848029136657715,0.0
3328,0.14626285,26,2239,1,654.6619323730469,-0.00011789863929152488,250,3.4738332e-06,319.6139831542969,-1.4186476528644563,1.3575277728743006e-05,0.9996699094772339,0.2,-0.004758119583129883,0.0
3456,-0.3642701,27,2239,1,3427.243200683594,-0.0001227661268785596,260,1.1455268e-06,2080.250732421875,-1.4186055719852448,1.3575277728743006e-05,0.9996675848960876,0.2,0.0029458999633789062,0.0
3584,-1.4769843,28,2238,1,3026.259417724609,-1.9707484170794487e-05,270,4.5169145e-08,1522.32470703125,-1.4186115503311156,1.3575277728743006e-05,0.9996814131736755,0.2,-0.0013725757598876953,0.0
3712,0.6375389,29,2239,1,1653.4644775390625,-8.3156768232584e-05,280,1.0905787e-06,579.42919921875,-1.4186045110225678,1.3575277728743006e-05,0.9996353387832642,0.2,-0.0016449689865112305,0.0
3840,-10.13664,30,2240,1,2739.2963256835938,-7.117525674402714e-05,290,1.6610138e-06,1404.9185791015625,-1.418558692932129,1.3575277728743006e-05,0.9996177554130554,0.2,-0.0002728700637817383,0.0
3968,-0.5703722,31,2238,1,1116.9247192382813,-2.1486077457666397e-05,300,9.597279e-07,499.7380065917969,-1.4185669064521789,1.3575277728743006e-05,0.9996396899223328,0.2,0.0007010102272033691,0.0
4096,-0.6187191,32,2238,1,499.08861389160154,-0.00014639892615377902,310,3.837049e-06,277.6263427734375,-1.4185714244842529,1.3575277728743006e-05,0.9996098279953003,0.2,0.003925800323486328,0.0
4224,-0.11529995,33,2237,1,548.892106628418,-0.00031035993015393615,320,1.4670659e-05,275.9892883300781,-1.4185797691345214,1.3575277728743006e-05,0.9997110366821289,0.2,0.0024341940879821777,0.0
4352,0.45619294,34,2238,1,972.8485260009766,5.253683775663376e-06,330,2.2952445e-06,493.00726318359375,-1.4186912059783936,1.3575277728743006e-05,0.9997760653495789,0.2,0.0025099515914916992,0.0
4480,0.2664666,35,2237,2,465.3402984619141,-3.264178521931171e-05,340,8.610077e-07,217.58810424804688,-1.4186935484409333,1.3575277728743006e-05,0.9997047781944275,0.2,0.005709290504455566,0.0
4608,4.0922465,36,2234,2,1551.369561767578,-0.00039743634406477215,350,3.190711e-05,826.6875610351562,-1.4186685502529144,1.3575277728743006e-05,0.9997912049293518,0.2,0.0011178255081176758,0.0
4736,4.6621537,37,2234,2,1708.127508544922,-0.0003929152386263013,360,1.1289958e-05,901.3642578125,-1.4187397122383119,1.3575277728743006e-05,0.9997904300689697,0.2,0.003056824207305908,0.0
4864,-0.042419434,38,2233,2,361.06520080566406,-0.00040193856693804264,370,1.2103468e-05,190.1543426513672,-1.4187514066696167,1.3575277728743006e-05,0.99986732006073,0.2,0.004170119762420654,0.0
4992,-4.5728016,39,2234,2,81.75861320495605,-6.719469092786312e-05,380,5.0407834e-06,46.445167541503906,-1.4187467217445373,1.3575277728743006e-05,0.9996843338012695,0.2,0.0024848580360412598,0.0
5120,-0.10920872,40,2235,2,523.8815521240234,-0.00014055194333195686,390,6.481074e-06,238.23452758789062,-1.4185470700263978,1.3575277728743006e-05,0.999570369720459,0.2,0.0022809505462646484,0.0
5248,-19.365835,41,2236,2,874.4862762451172,-1.25090591609478e-05,400,3.2037497e-07,420.1103210449219,-1.4184938371181488,1.3575277728743006e-05,0.999535322189331,0.2,-0.001548171043395996,0.0
5376,-5.990587,42,2235,2,852.2596435546875,-9.904075413942337e-05,410,4.921574e-06,494.32891845703125,-1.4184613943099975,1.3575277728743006e-05,0.9995192885398865,0.2,-0.0029398202896118164,0.0
5504,1.3908631,43,2235,2,536.6800415039063,-7.00416974723339e-05,420,1.814682e-06,264.61834716796875,-1.4184564232826233,1.3575277728743006e-05,0.9995104074478149,0.2,-0.002586960792541504,0.0
5632,9.218106,44,2235,2,1152.0566864013672,-5.0965789705514906e-05,430,3.0454248e-07,551.6749877929688,-1.4184288501739502,1.3575277728743006e-05,0.9994632005691528,0.2,0.001327812671661377,0.0
5760,0.0,45,2235,2,1563.368341064453,-0.00018052691593766211,440,1.8342398e-06,888.768310546875,-1.418381690979004,1.3575277728743006e-05,0.9994297027587891,0.2,0.000552058219909668,0.0
5888,6.621533,46,2234,2,1396.9629852294922,5.169364158064127e-07,450,1.2759119e-07,831.6813354492188,-1.4183525145053864,1.3575277728743006e-05,0.9993947744369507,0.2,-0.0038101673126220703,0.0
6016,-5.3392854,47,2234,2,488.5741134643555,-7.679457776248455e-05,460,2.0572916e-06,180.7639923095703,-1.4183380603790283,1.3575277728743006e-05,0.9994196891784668,0.2,-0.004404187202453613,0.0
6144,-1.9279217,48,2234,2,1782.4416625976562,-8.207885548472404e-06,470,9.359792e-08,917.1488037109375,-1.41837517619133,1.3575277728743006e-05,0.9994513392448425,0.2,0.005105376243591309,0.0
6272,-0.74557316,49,2234,2,716.0890930175781,-0.00019266558811068535,480,6.95372e-06,383.4302062988281,-1.4184064090251922,1.3575277728743006e-05,0.999491274356842,0.2,0.004311263561248779,0.0
6400,-0.93358916,50,2234,2,751.5254669189453,2.4346448481082916e-05,490,1.1711381e-06,350.75091552734375,-1.4184420704841614,1.3575277728743006e-05,0.9995104074478149,0.2,-0.012536048889160156,0.0
6528,-0.5631362,51,2235,2,240.0578926086426,-7.917196489870548e-05,500,1.6568229e-06,122.2779312133789,-1.4184055089950562,1.3575277728743006e-05,0.9993826150894165,0.2,0.002540111541748047,0.0
6656,2.989395,52,2235,2,835.150927734375,-0.00016425137873739005,510,1.6987324e-06,460.6048278808594,-1.4182393014431,1.3575277728743006e-05,0.9992293119430542,0.2,-0.001007676124572754,0.0
6784,3.8265758,53,2235,3,488.16748504638673,-5.346951074898243e-05,520,1.872424e-06,213.4261474609375,-1.418160730600357,1.3575277728743006e-05,0.9992451071739197,0.2,-0.0031131505966186523,0.0
6912,-0.41776738,54,2234,3,968.3998413085938,-2.7076480910182e-05,530,5.2619725e-07,488.33062744140625,-1.4182111740112304,1.3575277728743006e-05,0.9992990493774414,0.2,-0.0018606185913085938,0.0
7040,-11.728979,55,2234,3,241.13174133300782,-0.000482028117403388,540,3.896421e-05,133.9087677001953,-1.4181578993797301,1.3575277728743006e-05,0.9990628957748413,0.2,0.0058890581130981445,0.0
7168,0.23883408,56,2234,3,202.56313247680663,-3.8136867806315423e-05,550,3.11248e-06,113.53501892089844,-1.4178435266017915,1.3575277728743006e-05,0.9987191557884216,0.2,-0.0009301900863647461,0.0
7296,-8.916746,57,2234,3,79.58470878601074,-2.6057800278067587e-05,560,2.4707988e-06,40.292259216308594,-1.4175693452358247,1.3575277728743006e-05,0.9985911250114441,0.2,0.005716562271118164,0.0
7424,-7.2227983,58,2234,3,574.4435241699218,-6.776526570320129e-05,570,4.7544017e-07,303.4327087402344,-1.417518436908722,1.3575277728743006e-05,0.9985703825950623,0.2,0.00563126802444458,0.0
7552,-3.126826,59,2234,3,822.6521423339843,-0.0002808746881783009,580,5.8584847e-06,389.43878173828125,-1.4174727916717529,1.3575277728743006e-05,0.9984804391860962,0.2,0.0031622648239135742,0.0
7680,23.54456,60,2234,3,1182.4356903076173,-4.399269819259644e-05,590,1.2074597e-06,477.5927429199219,-1.4173685789108277,1.3575277728743006e-05,0.9983794093132019,0.2,-0.004103422164916992,0.0
7808,-6.9156365,61,2234,3,580.4810760498046,-4.498381167650223e-05,600,2.2584572e-07,341.8748779296875,-1.417291283607483,1.3575277728743006e-05,0.9983344078063965,0.2,-0.0018132925033569336,0.0
7936,6.9639754,62,2235,3,982.2464996337891,-4.466194659471512e-05,610,2.7613714e-07,387.9422302246094,-1.4172640323638916,1.3575277728743006e-05,0.9983232617378235,0.2,0.0016377568244934082,0.0
8064,3.47116,63,2236,3,4333.446435546875,-6.384416483342647e-05,620,7.2689727e-07,2301.3212890625,-1.4172565042972565,1.3575277728743006e-05,0.9983142614364624,0.2,0.001746535301208496,0.0
8192,-20.543068,64,2236,3,811.5471588134766,-0.00040492122061550615,630,7.5940043e-06,485.15997314453125,-1.4173044204711913,1.3575277728743006e-05,0.998449981212616,0.2,-0.0036835670471191406,0.0
8320,-31.816782,65,2237,3,2411.0488525390624,-0.0002235621679574251,640,2.690591e-06,1206.4447021484375,-1.417438405752182,1.3575277728743006e-05,0.9985358119010925,0.2,-0.0020782947540283203,0.0
8448,2.7209218,66,2238,3,1436.8153015136718,-3.633247688412666e-05,650,5.3690746e-07,556.2506713867188,-1.4174529314041138,1.3575277728743006e-05,0.9984650015830994,0.2,-0.0030497312545776367,0.0
8576,7.434423,67,2233,3,2062.4623291015623,-4.345381166785956e-05,660,6.821938e-07,950.8998413085938,-1.4173631429672242,1.3575277728743006e-05,0.998391330242157,0.2,-0.0020232200622558594,0.0
8704,-0.92354894,68,2232,3,612.3327026367188,2.6073306798934936e-06,670,6.519258e-08,326.6024475097656,-1.4173253357410431,1.3575277728743006e-05,0.9983949661254883,0.2,-0.0016061067581176758,0.0
8832,-4.0587063,69,2233,3,884.5480499267578,-0.00013796393759548664,680,7.1097165e-06,434.94293212890625,-1.4173037648200988,1.3575277728743006e-05,0.9983108043670654,0.2,-0.002508878707885742,0.0
8960,0.0,70,2233,4,571.2296279907226,-4.6424567699432375e-06,690,4.7823414e-07,243.208740234375,-1.4171485304832458,1.3575277728743006e-05,0.9980954527854919,0.2,-0.004498004913330078,0.0
9088,3.033706,71,2234,4,1042.738818359375,-6.169690750539303e-05,700,1.9418076e-06,484.415771484375,-1.41693714261055,1.3575277728743006e-05,0.9978986382484436,0.2,0.0026065707206726074,0.0
9216,0.5023027,72,2233,4,836.5446807861329,-0.00014169672504067422,710,8.737203e-06,424.5527648925781,-1.4167917311191558,1.3575277728743006e-05,0.9978330135345459,0.2,-0.0026465654373168945,0.0
9344,0.0,73,2232,4,870.1172515869141,-5.8692041784524916e-05,720,3.005378e-06,435.5287780761719,-1.4167522668838501,1.3575277728743006e-05,0.997787594795227,0.2,0.0013121366500854492,0.0
9472,8.087819,74,2232,4,370.98133239746096,-1.4130724593997002e-05,730,4.7963113e-08,163.14451599121094,-1.416711413860321,1.3575277728743006e-05,0.9977840781211853,0.2,0.00021690130233764648,0.0
9600,-0.195073,75,2232,4,145.0298137664795,-0.00010519379284232855,740,2.9541552e-06,71.13929748535156,-1.4167358875274658,1.3575277728743006e-05,0.997798502445221,0.2,-0.003731966018676758,0.0
9728,-6.949459,76,2232,4,588.6938049316407,3.384007140994072e-06,750,8.568168e-08,312.3970947265625,-1.4167100012302398,1.3575277728743006e-05,0.9977335929870605,0.2,0.0018276572227478027,0.0
