train/reward,train/n_updates,time/time_elapsed,time/total_timesteps,train/learning_rate,time/episodes,train/critic_loss,train/ent_coef,train/actor_loss,time/fps
-3.3159451,4139,14,9140,0.0001,4,8280.9462890625,0.004999999888241291,1395.766845703125,615
-3.3159451,13279,45,18280,0.0001,8,54.50238037109375,0.004999999888241291,879.1163330078125,397
-3.3159451,22419,77,27420,0.0001,12,42.158546447753906,0.004999999888241291,568.3939208984375,353
-3.3159451,31559,108,36560,0.0001,16,30.484149932861328,0.004999999888241291,377.615478515625,337
-3.3159451,40699,139,45700,0.0001,20,120.2586441040039,0.004999999888241291,252.2174835205078,326
-3.3159451,49839,171,54840,0.0001,24,21.391958236694336,0.004999999888241291,168.64932250976562,320
-3.3159451,58979,202,63980,0.0001,28,14.617890357971191,0.004999999888241291,117.04441833496094,316
-3.3159451,68119,232,73120,0.0001,32,6.220200538635254,0.004999999888241291,80.29552459716797,313
-3.3159451,77259,263,82260,0.0001,36,5.333524703979492,0.004999999888241291,54.08415985107422,312
-3.3159451,86399,293,91400,0.0001,40,2.8050360679626465,0.004999999888241291,38.08647155761719,310
-3.3159451,95539,324,100540,0.0001,44,8.249959945678711,0.004999999888241291,26.44148826599121,309
-3.3159451,104679,354,109680,0.0001,48,3.7228147983551025,0.004999999888241291,20.858028411865234,309
-3.3159451,113819,385,118820,0.0001,52,2.839914321899414,0.004999999888241291,18.179845809936523,308
-3.3159451,122959,415,127960,0.0001,56,4.2124505043029785,0.004999999888241291,14.042232513427734,307
-3.3159451,132099,446,137100,0.0001,60,3.9435391426086426,0.004999999888241291,11.195751190185547,307
-3.3159451,141239,476,146240,0.0001,64,2.7465474605560303,0.004999999888241291,11.011082649230957,306
-3.3159451,150379,507,155380,0.0001,68,5.01842737197876,0.004999999888241291,10.955918312072754,306
-3.3159451,159519,537,164520,0.0001,72,3.731677293777466,0.004999999888241291,11.719622611999512,305
-3.3159451,168659,568,173660,0.0001,76,5.878475189208984,0.004999999888241291,10.49977970123291,305
-3.3159451,177799,599,182800,0.0001,80,2.9476141929626465,0.004999999888241291,13.612241744995117,305
-3.3159451,186939,630,191940,0.0001,84,6.092822074890137,0.004999999888241291,13.581880569458008,304
-3.3159451,196079,660,201080,0.0001,88,3.516740083694458,0.004999999888241291,13.361032485961914,304
-3.3159451,205219,691,210220,0.0001,92,2.88415265083313,0.004999999888241291,13.352269172668457,304
-3.3159451,214359,721,219360,0.0001,96,4.489723205566406,0.004999999888241291,12.182867050170898,303
-3.3159451,223499,752,228500,0.0001,100,3.5706162452697754,0.004999999888241291,13.032352447509766,303
-3.3159451,232639,782,237640,0.0001,104,5.005701065063477,0.004999999888241291,14.262595176696777,303
-3.3159451,241779,1348,246780,0.0001,108,3.2185161113739014,0.004999999888241291,18.07210350036621,183
-3.3159451,250919,1380,255920,0.0001,112,2.682192802429199,0.004999999888241291,16.172077178955078,185
-3.3159451,260059,2341,265060,0.0001,116,6.74137020111084,0.004999999888241291,16.73195457458496,113
-3.3159451,269199,3307,274200,0.0001,120,4.780896186828613,0.004999999888241291,14.9637451171875,82
-3.3159451,278339,4276,283340,0.0001,124,4.965420722961426,0.004999999888241291,15.135200500488281,66
-3.3159451,287479,5346,292480,0.0001,128,3.5573015213012695,0.004999999888241291,17.93836212158203,54
